RPM,WOB,ROP,Depth,Claystone,Sandstone,Limestone,TRQ
150.0,1.42972315,25.1905008,1936.474867,1.0,0.0,0.0,2.684519538
160.0,3.760280747,34.786824,2816.071584,1.0,0.0,0.0,4.880944614
150.0,2.422636848,30.1392336,2627.669218,1.0,0.0,0.0,7.07736969
160.0,3.687705968,29.925264,2808.738096,0.0,1.0,0.0,9.151771151
159.0,2.567332814,15.465552,2716.051464,1.0,0.0,0.0,5.979157152
159.0,5.973811513,12.804648,2723.406288,1.0,0.0,0.0,6.223204383
149.0,4.236552736,28.4244288,2591.698855,1.0,0.0,0.0,8.175582228
159.0,1.968590886,14.407896,2705.179248,1.0,0.0,0.0,5.979157152
154.0,11.91632515,0.9589008,2903.110882,0.0,1.0,0.0,4.880944614
160.0,6.218751393,29.91612,2807.217144,0.0,1.0,0.0,10.24998369
159.0,3.401942775,19.821144,2643.24084,1.0,0.0,0.0,6.345227998
149.0,2.489768519,40.0650456,2137.303625,1.0,0.0,0.0,3.294637614
150.0,2.718832666,40.2464016,2142.74461,1.0,0.0,0.0,3.782732076
149.0,1.14259918,25.1219208,1902.063252,1.0,0.0,0.0,2.440472307
160.0,4.218409041,19.882104,2747.439768,1.0,0.0,0.0,4.026779307
160.0,4.667465487,27.776424,2794.04064,0.0,1.0,0.0,10.49403092
160.0,2.177243376,19.976592,2744.397864,1.0,0.0,0.0,3.050590384
159.0,3.401942775,19.821144,2649.797088,1.0,0.0,0.0,6.589275229
160.0,2.172707452,25.258776,2789.081544,0.0,1.0,0.0,4.758920999
150.0,2.249818155,29.8801536,2498.173718,1.0,0.0,0.0,4.026779307
160.0,5.805982336,16.209264,2748.082896,1.0,0.0,0.0,5.124991845
160.0,2.399503637,17.416272,2801.419848,0.0,1.0,0.0,5.613086306
160.0,3.306688377,30.169104,2831.674296,0.0,1.0,0.0,8.419629459
119.0,12.35857771,5.388864,2901.293054,0.0,1.0,0.0,8.907723921
149.0,2.422183256,19.825716,2607.947743,1.0,0.0,0.0,6.101180767
149.0,1.273233783,25.0475496,1927.153778,1.0,0.0,0.0,2.440472307
149.0,2.876682811,22.8856032,2581.048229,1.0,0.0,0.0,6.101180767
159.0,2.72155422,19.79676,2652.668304,1.0,0.0,0.0,5.735109921
160.0,4.213873117,43.293792,2784.829584,1.0,0.0,0.0,6.223204383
160.0,8.292575708,2.837688,2918.372522,0.0,1.0,0.0,8.175582228
159.0,5.901236734,19.808952,2725.981848,1.0,0.0,0.0,7.565464152
160.0,2.630835746,6.81228,2746.153512,1.0,0.0,0.0,3.782732076
150.0,1.366673811,25.0521216,1964.471052,1.0,0.0,0.0,2.806543153
160.0,5.765159023,29.928312,2809.960344,0.0,1.0,0.0,10.73807815
150.0,2.883033104,44.738544,2378.659912,0.0,0.0,1.0,8.66367669
159.0,1.292738255,20.019264,2710.894248,1.0,0.0,0.0,6.101180767
